1,19,38,1001
2,19,25,1000
3,7,27,1001
4,11,32,1000
5,9,40,1001
6,24,49,1004
7,26,47,1002
8,19,43,997
9,4,42,996
10,4,39,995
11,7,36,998
12,15,33,997
13,15,37,996
14,17,49,997
15,9,55,994
16,9,41,997
17,7,45,997
18,9,45,999
19,4,46,999
20,4,98,999
21,15,53,998
22,15,60,1000
23,4,44,998
24,4,40,997
25,19,47,998
26,11,50,998
27,11,49,997
28,11,64,1000
29,19,48,999
30,9,45,996
1,30,32,1003
2,7,24,1002
3,11,47,1005
4,13,39,1003
5,19,31,1003
6,15,28,1000
7,15,23,998
8,22,21,997
9,28,24,998
10,22,32,998
11,26,38,1002
12,20,30,997
13,9,34,996
14,7,71,999
15,0,44,999
16,6,38,999
17,6,37,997
18,0,34,996
19,9,37,995
20,17,39,997
21,20,59,997
22,15,51,996
23,0,42,992
24,6,56,994
25,11,78,994
26,22,46,993
27,19,45,996
28,9,43,998
29,11,56,1003
30,15,53,1002
1,11,37,1003
2,0,36,1004
3,15,23,999
4,17,21,997
5,15,22,995
6,19,25,994
7,26,23,993
8,6,23,992
9,17,19,992
10,24,18,993
11,19,24,995
12,17,45,994
13,30,49,997
14,4,55,997
15,15,42,995
16,19,37,995
17,26,33,994
18,9,44,993
19,17,42,992
20,26,29,990
21,13,39,993
22,11,41,995
23,15,40,995
24,22,39,994
25,7,46,997
26,7,52,999
27,11,43,1001
28,11,44,999
29,15,47,996
30,6,55,996
1,9,40,999
2,13,25,999
3,19,18,997
4,19,19,995
5,30,23,996
6,15,31,999
7,15,37,1004
8,19,53,1003
9,6,50,1000
10,9,36,998
11,7,38,998
13,11,24,996
14,17,28,997
15,15,29,998
16,11,56,999
17,2,64,1000
18,15,51,998
1,9,40,999
2,13,25,999
3,19,18,997
4,19,19,995
5,30,23,996
6,15,31,999
7,15,37,1004
8,19,53,1003
9,6,50,1000
10,9,36,998
11,7,38,998
13,11,24,996
14,17,28,997
15,15,29,998
16,11,56,999
17,2,64,1000
18,15,51,998
